OID,FuelClass,class_id,split,PortHills2017_stack_pre_B2,PortHills2017_stack_pre_B3,PortHills2017_stack_pre_B4,PortHills2017_stack_pre_B5,PortHills2017_stack_pre_B6,PortHills2017_stack_pre_B7,PortHills2017_stack_post_B2,PortHills2017_stack_post_B3,PortHills2017_stack_post_B4,PortHills2017_stack_post_B5,PortHills2017_stack_post_B6,PortHills2017_stack_post_B7,PortHills2017_stack_NBR_pre,PortHills2017_stack_NBR_post,PortHills2017_stack_dNBR,PortHills2017_stack_NDVI,PortHills2017_stack_BSI,PortHills2017_stack_severity,PortHills2017_stack_valid_data,PortHills2017_stack_elev,PortHills2017_stack_slope,PortHills2017_stack_northness,source
1,pasture,1,train,0.04488750174641609,0.07489000260829926,0.08910749852657318,0.35679250955581665,0.24934999644756317,0.13156749308109283,0.05107500031590462,0.08087124675512314,0.07829999923706055,0.1803937554359436,0.18480749428272247,0.15997500717639923,0.46118640899658203,0.059990085661411285,280.73675537109375,0.6003251671791077,-0.08541993796825409,2.0,1.0,85.0,20.666749954223633,0.5578949451446533,original_202
2,pasture,1,valid,0.052697498351335526,0.0852850005030632,0.10819250345230103,0.3480199873447418,0.2609274983406067,0.12961499392986298,0.05654750019311905,0.06438499689102173,0.06329874694347382,0.12212125211954117,0.15142250061035156,0.15188999474048615,0.45726338028907776,-0.10864061117172241,445.44439697265625,0.5256925225257874,-0.04104437679052353,2.0,1.0,74.0,29.690284729003906,0.5678273439407349,original_202
3,pasture,1,train,0.03157750144600868,0.05954499915242195,0.06160749867558479,0.37716999650001526,0.1778775006532669,0.08855749666690826,0.04488750174641609,0.059654999524354935,0.06565000116825104,0.13373999297618866,0.14650000631809235,0.13357500731945038,0.6197025179862976,0.0006172492867335677,498.62567138671875,0.7191857099533081,-0.26111388206481934,2.0,1.0,133.0,8.942805290222168,-0.10287006944417953,original_202
4,pasture,1,train,0.05781250074505806,0.0987050011754036,0.12595750391483307,0.38946250081062317,0.2911224961280823,0.1555200070142746,0.051569998264312744,0.05618999898433685,0.060397498309612274,0.09477250277996063,0.13558250665664673,0.14691250026226044,0.4292660653591156,-0.21573536098003387,524.5418701171875,0.5112432837486267,-0.03493356332182884,2.0,1.0,160.0,12.829142570495605,0.9951671361923218,original_202
6,pasture,1,train,0.039992500096559525,0.07189249992370605,0.08470749855041504,0.3545374870300293,0.21214249730110168,0.10299500077962875,0.036912500858306885,0.052862498909235,0.05973749980330467,0.1304125040769577,0.14028500020503998,0.12158499658107758,0.5497806072235107,0.03503010794520378,394.2909240722656,0.6143040657043457,-0.14128264784812927,2.0,1.0,32.0,5.283116340637207,0.8752986192703247,original_202
9,pasture,1,valid,0.05355000123381615,0.08861249685287476,0.08847499638795853,0.32010748982429504,0.22561749815940857,0.13247500360012054,0.017937500029802322,0.0428524985909462,0.027562500908970833,0.17413750290870667,0.10417749732732773,0.06265249848365784,0.41458186507225037,0.47081801295280457,-176.69573974609375,0.566917359828949,-0.08660850673913956,0.0,1.0,201.0,16.418333053588867,-0.16480927169322968,original_202
10,pasture,1,valid,0.037558749318122864,0.07355625182390213,0.0725800022482872,0.3476487398147583,0.2340324968099594,0.12588874995708466,0.06628250330686569,0.08402000367641449,0.0963675007224083,0.1645675003528595,0.2403849959373474,0.23496749997138977,0.4683050513267517,-0.1762048453092575,524.05029296875,0.6545690894126892,-0.11360614001750946,2.0,1.0,119.0,12.639369010925293,-0.0721868947148323,original_202
11,pasture,1,train,0.04670250043272972,0.07467000186443329,0.10145500302314758,0.4161374866962433,0.22388499975204468,0.1080550029873848,0.05319250002503395,0.09961249679327011,0.09545999765396118,0.21069875359535217,0.1908162534236908,0.1721162497997284,0.5877277851104736,0.10078628361225128,366.4819030761719,0.6079734563827515,-0.174452543258667,2.0,1.0,162.0,8.471453666687012,0.43474116921424866,original_202
13,pasture,1,valid,0.04376000165939331,0.08080250024795532,0.0863574966788292,0.3611375093460083,0.2524299919605255,0.13129250705242157,0.05095124989748001,0.08139374852180481,0.09200874716043472,0.17987124621868134,0.19727875292301178,0.15777499973773956,0.4667567014694214,0.06544201076030731,280.8551025390625,0.6140403747558594,-0.08889516443014145,2.0,1.0,241.0,14.139426231384277,0.9638856053352356,original_202
16,pasture,1,train,0.059462498873472214,0.09878750145435333,0.1277174949645996,0.3912774920463562,0.3167800009250641,0.1648699939250946,0.07996375113725662,0.12469249963760376,0.12444499880075455,0.2689025104045868,0.24226875603199005,0.2086775004863739,0.40709972381591797,0.12610453367233276,160.53561401367188,0.507827639579773,-0.0069730100221931934,1.0,1.0,166.0,18.548614501953125,0.9166374206542969,original_202
